鄉鎮市區,交易標的,土地區段位置/建物區段門牌,土地移轉總面積(平方公尺),使用分區或編定,非都市土地使用分區,非都市土地使用地,交易年月,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位類別,車位移轉總面積(平方公尺),車位總價(元),交易標的橫坐標,交易標的縱坐標
北投區,房地(土地+建物)+車位,臺北市北投區中央北路一段101~150號,16.01,商,,,10107,土地3建物1車位2,二層,15,辦公商業大樓,見其他登記事項,鋼筋混凝土造,1010423,185.67,0,0,0,無,有,26320000,141759,升降機械,20.12,0,300334,2780775
北投區,房地(土地+建物)+車位,臺北市北投區中央北路一段101~150號,17.43,商,,,10107,土地3建物1車位1,三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010423,182.02,3,2,2,有,無,30500000,167568,升降機械,10.06,0,300331,2780778
北投區,房地(土地+建物)+車位,臺北市北投區中央北路一段101~150號,17.37,商,,,10107,土地3建物1車位1,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010423,182.04,3,2,2,有,有,29200000,160407,坡道平面,10.43,0,300333,2780776
北投區,房地(土地+建物)+車位,臺北市北投區中央北路一段101~150號,17.44,商,,,10107,土地3建物1車位1,五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010423,182.45,3,2,2,有,有,27390000,150120,升降機械,10.43,0,300310,2780799
北投區,房地(土地+建物)+車位,臺北市北投區中央北路一段101~150號,15.92,商,,,10107,土地3建物1車位1,三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010423,181.99,3,2,2,有,有,29000000,159346,升降機械,10.43,0,300329,2780781
松山區,房地(土地+建物),臺北市松山區南京東路五段250巷2弄1~50號,41.5,住,,,10106,土地1建物1車位0,四層，陽台,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,630320,118.23,3,2,2,有,無,21300000,180157,,0,0,307257,2771515
內湖區,房地(土地+建物)+車位,臺北市內湖區南京東路六段451巷1~50號,48.12,其他,,,10106,土地1建物1車位1,九層,13,辦公商業大樓,見其他登記事項,鋼筋混凝土造,981208,223.9,4,2,2,有,有,40500000,180887,坡道平面,33.47,0,309282,2772686
中山區,房地(土地+建物),臺北市中山區長安東路二段51~100號,8.76,住,,,10107,土地2建物1車位0,十層,11,辦公商業大樓,商業用,鋼筋混凝土造,640203,57.63,0,1,0,有,有,8880000,154089,,0,0,303743,2771194
中山區,房地(土地+建物),臺北市中山區農安街51~100號,13.86,商,,,10106,土地1建物1車位0,八層,8,套房(1房1廳1衛),商業用,鋼筋混凝土造,910320,56.23,1,1,1,無,有,11150000,198300,,0,0,303328,2773031
文山區,土地,政大段四小段251~300地號,2,其他,,,10108,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,360000,180000,,0,0,307841,2764819
文山區,房地(土地+建物),臺北市文山區和興路26巷1~50號,19.27,住,,,10106,土地1建物1車位0,八層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,980317,82.7,2,2,1,有,有,11880000,143658,,0,0,305121,2764249
大同區,房地(土地+建物),臺北市大同區哈密街59巷38弄1~50號,18.25,住,,,10107,土地1建物1車位0,三層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,620110,51.26,1,2,1,有,無,6500000,126805,,0,0,301950,2774189
北投區,房地(土地+建物),臺北市北投區光明路2巷1弄1~50號,31.35,商,,,10107,土地2建物1車位0,二層,5,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,680608,118.49,2,2,1,有,無,13260000,111908,,0,0,300357,2780485
北投區,房地(土地+建物)+車位,臺北市北投區知行路214巷1~50號,45.29,住,,,10107,土地1建物1車位2,八層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000919,279.62,3,2,2,有,無,33500000,119803,坡道平面,0,0,297230,2779199
北投區,房地(土地+建物)+車位,臺北市北投區知行路214巷1~50號,69.15,住,,,10107,土地1建物1車位3,十層，十一層，屋頂突出物,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000919,434.89,3,2,3,有,無,47000000,108072,坡道平面,0,0,297250,2779179
信義區,車位,臺北市信義區信安街51~100號,0.05,住,,,10107,土地0建物0車位1,地下二層,7,其他,停車空間,鋼筋混凝土造,800710,14.08,0,0,0,有,無,990000,,升降機械,0,990000,306249,2768710
南港區,房地(土地+建物),臺北市南港區研究院路二段201~250號,32.29,住,,,10107,土地1建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,130.25,3,2,2,有,無,12900000,99040,,0,0,312320,2769894
大安區,房地(土地+建物),臺北市大安區基隆路二段132巷1~50號,14.14,住,,,10107,土地1建物1車位0,二層,5,套房(1房1廳1衛),住家用,鋼筋混凝土造,821109,42.01,1,1,1,有,無,8000000,190451,,0,0,306144,2769105
大安區,房地(土地+建物),臺北市大安區嘉興街301~350號,40.44,住,,,10107,土地1建物1車位0,二層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,134.86,3,2,2,有,無,21500000,159425,,0,0,305823,2768360
大安區,房地(土地+建物),臺北市大安區忠孝東路四段201~250號,5.18,住,,,10107,土地1建物1車位0,四層,11,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,,44.89,1,1,1,有,無,11780000,262443,,0,0,305864,2770489
大安區,土地,通化段一小段401~450地號,2.67,其他,,,10107,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,150000,56250,,0,0,305989,2769459
北投區,房地(土地+建物),臺北市北投區大度路三段296巷1~50號,17.25,工,,,10107,土地1建物1車位0,,,倉庫,,,,45.25,0,0,0,無,無,3130800,,,0,0,297011,2779551
士林區,土地,蘭雅段一小段601~650地號,30.67,其他,,,10107,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,17143917,558980,,0,0,302792,2777592
